Warna R,Warna G,Warna B,Warna H,Warna S,Warna V,Kondisi
86.99083227040816,130.31977439413265,85.2696308992347,58.86977838010204,91.4013671875,130.31977439413265,2.0
162.4305644132653,173.75558035714286,188.59516501913265,107.24248644770408,36.19403698979592,188.59516501913265,2.0
145.47273596938774,166.8585977359694,207.13099888392856,109.4742506377551,76.09139827806122,207.13099888392856,2.0
158.44782366071428,174.40272241709184,194.04691485969389,106.60241948341836,47.48202327806123,194.04691485969389,2.0
157.57840401785714,157.431640625,159.47257653061226,79.99133051658163,6.77214205994898,160.5999681122449,2.0
133.8826132015306,157.1360411352041,200.0569993622449,109.2967753507653,85.02947624362245,200.0569993622449,2.0
135.20737005739795,158.45721061862244,201.6796875,109.36381935586736,84.58619658801021,201.6796875,2.0
135.24021444515307,158.4852519132653,201.7379623724489,109.35935507015306,84.52523118622449,201.7379623724489,2.0
171.5773078762755,170.7774433992347,169.83591757015307,47.934151785714285,3.982700892857143,172.00269052933675,2.0
188.580078125,175.68506855867346,173.26120057397958,42.01717952806123,21.423389668367346,188.580078125,2.0
59.85126355229592,186.28208705357144,175.1444316007653,87.3295599489796,174.01901307397958,186.29255022321428,2.0
187.7046197385204,186.75115593112244,197.7953204719388,123.61794483418367,14.814492984693878,197.81299824617344,2.0
179.59151785714286,184.9082629145408,204.69337930484693,113.97694116709184,31.453822544642858,204.69337930484693,2.0
186.8139548788265,194.29809072066325,215.38077965561223,112.2915338010204,33.901925223214285,215.38077965561223,2.0
194.9114118303572,196.4213169642857,210.4131656568877,118.47935267857144,19.40417729591837,210.4131656568877,2.0
101.66511878188776,107.07551419005102,49.49336336096939,33.09644052933673,137.1923230229592,107.07551419005102,2.0
115.31329719387756,115.27479272959184,67.33516023596938,30.467354910714285,109.28091119260203,116.46488360969389,2.0
110.00047831632654,116.55681999362244,64.74629304846938,33.868921396683675,113.41808832908164,116.55681999362244,2.0
131.79729352678572,140.21271125637756,90.22883450255102,35.17560188137755,90.97235730229592,140.21271125637756,2.0
118.12248883928572,125.81046715561224,75.06991390306122,34.65340003188776,102.88349011479592,125.81046715561224,2.0
160.9113919005102,195.75173389668367,225.62045599489795,103.82065130739797,73.69262197066327,225.62055564413265,2.0
125.52931680484694,131.34789540816325,94.75864955357144,34.840939891581634,71.08793048469387,131.34789540816325,2.0
122.05331234056122,127.76688058035714,97.92954799107144,35.75219228316327,59.6220703125,127.76688058035714,2.0
120.27551020408164,125.7705676020408,81.11431760204081,33.718769929846935,90.5918566645408,125.7705676020408,2.0
145.86164700255102,155.97150031887756,139.29890784438774,49.04454320790816,27.322763871173468,155.97150031887756,2.0
140.70940290178572,150.30996890943877,128.34486607142858,43.62894610969388,37.12725207270408,150.30996890943877,2.0
137.54753268494898,149.8377909757653,145.04161352040816,76.95362324617346,21.312898596938776,149.89787946428572,2.0
147.72761878188774,158.06273915816325,170.6256776147959,106.2489636479592,34.20035475127551,170.62737165178572,2.0
160.54298867984693,175.91687260841837,204.89084422831635,109.6650390625,55.36860251913265,204.89084422831635,2.0
145.83374521683675,160.1217115752551,170.8898477359694,102.31722337372447,37.37348533163265,170.8898477359694,2.0
151.37394371811226,163.8063416772959,196.6966477997449,111.90575175382654,59.34927056760204,196.6966477997449,2.0
199.72602439413265,184.42185507015307,175.0850207270408,11.30030293367347,31.972556600765305,199.72602439413265,2.0
158.60100446428572,174.96149553571428,208.9446348852041,110.171875,61.49236686862245,208.9446348852041,2.0
187.3083346619898,184.24613360969389,184.7329599808673,102.46534199617346,5.309311224489796,187.6322544642857,2.0
216.65094866071428,197.4421237244898,181.9747090242347,13.347118144132653,41.43929368622449,216.65094866071428,2.0
187.28312340561223,183.7932676977041,177.1008848852041,19.521703603316325,14.524673150510203,187.28312340561223,2.0
177.30857382015307,174.0026307397959,167.25288982780611,20.20294563137756,15.472257653061224,177.30857382015307,2.0
37.65176578443877,27.37970344387756,24.735869738520407,16.94501355229592,88.33958466198979,37.75843032525511,1.0
78.05217633928571,34.85469148596939,17.34931042729592,8.639289700255102,198.1527024872449,78.05217633928571,1.0
121.4829400510204,60.82136878188776,23.451709980867346,11.39678332270408,205.91701211734693,121.4829400510204,1.0
153.58191167091837,88.00139508928571,32.10981345663265,13.67205436862245,201.8463209502551,153.58191167091837,1.0
139.58595742984693,74.7217793367347,27.54308832908164,12.57730787627551,204.7904376594388,139.58595742984693,1.0
